system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
Vulcraft_2VLI36_LW110pcf_8,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,63,13,1.52777778,0.73333333,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G22,
Vulcraft_2VLI36_LW110pcf_9,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,50,14,1.52777778,0.73333333,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G22,
Vulcraft_2VLI36_LW110pcf_10,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,575,6,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_11,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,414,7,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_12,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,293,8,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_13,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,205,9,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_14,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,150,10,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_15,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,112,11,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_16,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,86,12,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_17,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,68,13,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_18,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,54,14,1.52777778,0.73333333,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G20,
Vulcraft_2VLI36_LW110pcf_19,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,659,6,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_20,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,466,7,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_21,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,312,8,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_22,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,219,9,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_23,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,159,10,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_24,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,120,11,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_25,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,92,12,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_26,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,72,13,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_27,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,58,14,1.52777778,0.73333333,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G19,
Vulcraft_2VLI36_LW110pcf_28,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,735,6,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_29,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,491,7,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_30,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,329,8,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_31,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,231,9,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_32,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,168,10,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_33,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,126,11,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_34,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,97,12,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_35,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,76,13,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_36,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,61,14,1.52777778,0.73333333,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G18,
Vulcraft_2VLI36_LW110pcf_37,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,860,6,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_38,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,542,7,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_39,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,363,8,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_40,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,255,9,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_41,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,185,10,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_42,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,139,11,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_43,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,107,12,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_44,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,84,13,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_45,Vulcraft_2VLI36_LW110pcf,0.33333333,,,,36.6666667,,67,14,1.52777778,0.73333333,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G16,
Vulcraft_2VLI36_LW110pcf_46,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,552,6,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_47,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,396,7,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_48,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,295,8,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_49,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,226,9,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_50,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,177,10,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_51,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,140,11,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_52,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,112,12,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_53,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,88,13,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_54,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,70,14,1.71875,0.825,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G22,
Vulcraft_2VLI36_LW110pcf_55,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,658,6,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_56,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,474,7,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_57,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,355,8,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_58,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,273,9,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_59,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,208,10,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_60,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,156,11,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_61,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,120,12,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_62,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,95,13,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_63,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,76,14,1.71875,0.825,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G20,
Vulcraft_2VLI36_LW110pcf_64,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,755,6,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_65,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,545,7,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_66,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,409,8,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_67,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,304,9,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_68,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,222,10,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_69,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,166,11,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_70,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,128,12,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_71,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,101,13,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_72,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,80,14,1.71875,0.825,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G19,
Vulcraft_2VLI36_LW110pcf_73,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,843,6,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_74,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,610,7,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_75,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,456,8,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_76,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,320,9,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_77,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,233,10,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_78,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,175,11,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_79,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,135,12,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_80,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,106,13,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_81,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,85,14,1.71875,0.825,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G18,
Vulcraft_2VLI36_LW110pcf_82,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,1029,6,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_83,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,747,7,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_84,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,503,8,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_85,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,353,9,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_86,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,257,10,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_87,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,193,11,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_88,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,149,12,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_89,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,117,13,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_90,Vulcraft_2VLI36_LW110pcf,0.375,,,,41.25,,93,14,1.71875,0.825,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D4.5in_G16,
Vulcraft_2VLI36_LW110pcf_91,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,660,6,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_92,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,474,7,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_93,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,353,8,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_94,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,271,9,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_95,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,211,10,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_96,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,168,11,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_97,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,134,12,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_98,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,108,13,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_99,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,88,14,2.00520833,0.9625,,concrete,,us_steel_22,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G22,
Vulcraft_2VLI36_LW110pcf_100,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,789,6,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_101,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,569,7,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_102,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,426,8,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_103,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,328,9,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_104,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,258,10,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_105,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,206,11,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_106,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,166,12,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_107,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,136,13,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_108,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,111,14,2.00520833,0.9625,,concrete,,us_steel_20,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G20,
Vulcraft_2VLI36_LW110pcf_109,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,908,6,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_110,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,656,7,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_111,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,492,8,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_112,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,380,9,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_113,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,300,10,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_114,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,241,11,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_115,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,196,12,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_116,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,156,13,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_117,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,125,14,2.00520833,0.9625,,concrete,,us_steel_19,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G19,
Vulcraft_2VLI36_LW110pcf_118,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,1016,6,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_119,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,735,7,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_120,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,553,8,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_121,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,428,9,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_122,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,339,10,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_123,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,271,11,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_124,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,209,12,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_125,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,164,13,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_126,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,131,14,2.00520833,0.9625,,concrete,,us_steel_18,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G18,
Vulcraft_2VLI36_LW110pcf_127,Vulcraft_2VLI36_LW110pcf,0.4375,,,,48.125,,1244,6,2.00520833,0.9625,,concrete,,us_steel_16,,,Vulcraft_2VLI36_LW110pcf_D5.25in_G16,
